Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3,0.24563,-0.0060176,0,0,0,35.686,0.731,1.0692E-15,-1.6973E-17,107.06,6.7701E-18,107.79,0,0,0,0,0,0,package://中组立0725(1).stp.SLDASM/meshes/base_link.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://中组立0725(1).stp.SLDASM/meshes/base_link.STL,,V2.stp-1/16#-work-chutu-06.stp-1,frame1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l2,-0.232,-2.075,-0.60601,0,0,0,89.686,11.598,4.0644E-15,-1.1069E-17,269.06,-2.9358E-15,280.65,0,0,0,0,0,0,package://中组立0725(1).stp.SLDASM/meshes/l2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://中组立0725(1).stp.SLDASM/meshes/l2.STL,,V2.stp-1/16#-work-xianyouban.stp-1,frame2,,l2,fixed,3.232,3.1956,0.6,0,0,0,base_link,0,0,0,,,,,,,,,,,,
l3,-2.7837,0.77477,0.01646,0,0,0,1281.9,598.46,1.1025E-14,2.7327E-12,2696.6,0.25586,2863.2,0,0,0,0,0,0,package://中组立0725(1).stp.SLDASM/meshes/l3.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://中组立0725(1).stp.SLDASM/meshes/l3.STL,,16#-work-chutu-03.stp-9;16#-work-chutu-05.stp-2;16#-work-chutu-03.stp-10;16#-work-chutu-05.stp-1;16#-work-chutu-03.stp-7;16#-work-chutu-03.stp-4;16#-work-chutu-03.stp-5;16#-work-chutu-03.stp-8;16#-work-chutu-03.stp-6;16#-work-chutu-03.stp-3;16#-work-chutu-03.stp-1;16#-work-chutu-02.stp-9;16#-work-chutu-02.stp-8;16#-work-chutu-02.stp-6;16#-work-chutu-02.stp-4;16#-work-chutu-02.stp-1;16#-xiatu-xiaozuli-2.stp-1;16#-xiatu-xiaozuli-1.stp-4;16#-xiatu-xiaozuli-2.stp-2;16#-xiatu-xiaozuli-1.stp-3;16#-work-chutu-02.stp-5;16#-work-chutu-02.stp-10;16#-xiatu-xiaozuli-1.stp-2;16#-work-chutu-02.stp-7;16#-work-chutu-02.stp-2;16#-work-chutu-02.stp-3;V2.stp-1/16#-work-xianyouban.stp-2;V2.stp-1/16#-work-xianyouban.stp-3;V2.stp-1/16#-work-chutu-01.stp-1;V2.stp-1/16#-work-xianyouban.stp-4;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-08.stp-2;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-08.stp-3;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-04.stp-1;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-08.stp-1;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-09.stp-5;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-09.stp-1;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-09.stp-2;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-09.stp-3;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-09.stp-4;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-07.stp-6;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-07.stp-5;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-07.stp-2;16#-work-chutu-03.stp-2;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-07.stp-4;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-07.stp-3;16#-xiatu-xiaozuli-1.stp-1/16#-work-chutu-07.stp-1,frame3,,l3,fixed,2.628,0,0,0,0,0,l2,0,0,0,,,,,,,,,,,,
