Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_00,0.00281411995995548,-0.000194531191696483,0.0195447591183241,0,0,0,0.526598652051908,0.000629597562234121,-2.42038795119825E-08,3.21123416404004E-06,0.00086870537882105,2.45011996420414E-07,0.00136278998388592,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_00.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_00.STL,,Zu 5 00-1,Coordinate System0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_01,-2.51857531862945E-07,0.00332256500839039,-0.00150902460016494,0,0,0,15.1346479444998,0.0443031651788231,-2.81167524079918E-08,-4.0596826899028E-07,0.0430901762109995,1.43719449704964E-05,0.0305221713846399,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_01.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_01.STL,,Zu 5 01-1,Coordinate System1,Axis1,Joint01,revolute,0,-0.00022535,0.12015,0,0,0,Link_00,0,0,-1,0,0,0,0,,,,,,,,
Link_02,0.215000100287162,6.43173034275968E-09,-0.143146610069182,0,0,0,45.8465918633366,0.1037483140575,-5.87095025929926E-08,2.54282490391606E-07,0.240121009336192,2.15483178508248E-08,0.212572501503178,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_02.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_02.STL,,Zu 5 02-1,Coordinate System2,Axis2,Joint02,revolute,0,0,0,1.5708,0,0,Link_01,0,0,1,0,0,0,0,,,,,,,,
Link_03,0.190735496583493,-1.52687675682717E-05,-0.0106365862195608,0,0,0,18.0534564554839,0.0197914204709761,6.48612971204404E-07,-0.0162800799758652,0.168630223367361,3.37641397447918E-07,0.16527336838242,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_03.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_03.STL,,Zu 5 03-1,Coordinate System3,Axis3,Joint03,revolute,0.43,0,0,0,0,0,Link_02,0,0,1,0,0,0,0,,,,,,,,
Link_04,-1.98734804579548E-06,-0.00595118756440464,0.00267886074216196,0,0,0,5.53782702890545,0.00708415707773477,1.83211236329591E-07,-2.36169851115656E-08,0.00516123063669001,-0.000397739879929697,0.00684324625577803,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_04.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_04.STL,,Zu 5 04-1,Coordinate System4,Axis4,Joint04,revolute,0.3685,-1.185E-05,-0.114,0,0,0,Link_03,0,0,-1,0,0,0,0,,,,,,,,
Link_05,-1.90944871258925E-06,-0.00288907759425719,-0.00234237394169147,0,0,0,6.33394466548073,0.012920396120737,-1.08659585912681E-07,5.89055788634786E-09,0.00584529345673904,4.29603782509824E-05,0.0126275585433332,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_05.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_05.STL,,Zu 5 05-1,Coordinate System5,Axis5,Joint05,revolute,0,-0.1135,0,1.5708,0,0,Link_04,0,0,1,0,0,0,0,,,,,,,,
Link_06,2.76523161145681E-05,-1.34854737601593E-05,-0.021245060068734,0,0,0,1.41689125820954,0.000713704897956401,-6.91164349011104E-07,-6.36734535409925E-07,0.000723626940396581,1.5890038073838E-06,0.00112895600939514,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_06.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://Zu 5.SLDASM/meshes/Link_06.STL,,Zu 5 06-2,Coordinate System6,Axis6,Joint06,revolute,0,0.107,0,-1.5708,0,0,Link_05,0,0,1,0,0,0,0,,,,,,,,
